Sl. No.,State/UT,Pure Electric Buses,Strong Hybrid Electric Buses,Total
1,Andaman and Nicobar Islands,40,NA,40
2,Andhra Pradesh,132,34,166
3,Assam,233,NA,233
4,Bihar,27,3,30
5,Chandigarh,81,NA,81
6,Chhattisgarh,4,65,69
7,Delhi,2543,NA,2543
8,Goa,153,NA,153
9,Gujarat,896,2,898
10,Haryana,28,4,32
11,Himachal Pradesh,123,NA,123
12,Jammu and Kashmir,243,NA,243
13,Jharkhand,7,16,23
14,Karnataka,1450,183,1633
15,Kerala,190,NA,190
16,Ladakh,19,NA,19
17,Madhya Pradesh,164,42,206
18,Maharashtra,2448,9,2457
19,Manipur,1,NA,1
20,Mizoram,1,NA,1
21,Odisha,173,29,202
22,Puducherry,22,NA,22
23,Punjab,17,2,19
24,Rajasthan,19,4,23
25,Sikkim,NA,2,2
26,Tamil Nadu,153,NA,153
27,Dadra and Nagar Haveli and Daman and Diu,25,NA,25
28,Uttarakhand,40,2,42
29,Uttar Pradesh,769,24,793
30,West Bengal,189,66,255
Grand Total,Grand Total,10190,487,10677
